@relation 'glass-weka.filters.unsupervised.attribute.Remove-R1,4-10-weka.filters.supervised.attribute.Discretize-Rfirst-last'

@attribute RI {'\'(-inf-1.517335]\'','\'(1.517335-1.517985]\'','\'(1.517985-inf)\''}
@attribute Na {'\'(-inf-14.065]\'','\'(14.065-inf)\''}
@attribute Type_of_glass {1,2,3,4,5,6,7}

@data
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',1
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',1
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',1
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(14.065-inf)\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',1
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(14.065-inf)\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',2
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',2
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(1.517985-inf)\'','\'(14.065-inf)\'',3
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',3
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',3
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',3
'\'(1.517335-1.517985]\'','\'(-inf-14.065]\'',3
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',3
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',3
'\'(1.517985-inf)\'','\'(14.065-inf)\'',3
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',5
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',5
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',6
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',6
'\'(1.517985-inf)\'','\'(14.065-inf)\'',6
'\'(1.517985-inf)\'','\'(14.065-inf)\'',6
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',6
'\'(1.517985-inf)\'','\'(14.065-inf)\'',6
'\'(1.517985-inf)\'','\'(14.065-inf)\'',6
'\'(1.517985-inf)\'','\'(14.065-inf)\'',6
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',6
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',7
'\'(1.517985-inf)\'','\'(14.065-inf)\'',7
'\'(1.517985-inf)\'','\'(-inf-14.065]\'',7
'\'(1.517985-inf)\'','\'(14.065-inf)\'',7
'\'(1.517985-inf)\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(-inf-14.065]\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(1.517985-inf)\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(1.517985-inf)\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
'\'(-inf-1.517335]\'','\'(14.065-inf)\'',7
